Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
Sumar,Sumar,Sumar,-4,-2,Left,Centre-Left,plutôt libertaire,Broad left platform (2023)
TE,Teruel Existe,Teruel Exists,0,1,Centre,Centre,plutôt autoritaire,"Regionalist (Aragon), anti‑neglect"
UCD,Unión de Centro Democrático,Union of the Democratic Centre,1,1,Centre,Centre,plutôt autoritaire,"Centrist, liberal/conservative alliance (1977–1983)"
UCiDCC,Unió del Centre i Democràcia Cristiana de Catalunya,Union of the Centre and Christian Democracy of Catalonia,1,1,Centre,Centre,plutôt autoritaire,1977 Catalan centrist/Christian‑democratic alliance
UN,Unión Navarra (etiqueta local),Navarrese Union (local label),2,2,Centre-Right,Centre-Right,plutôt autoritaire,Minor 1979 tag; likely regional/centrist
UP,Unidos Podemos,United We Can,-5,-2,Left,Centre-Left,plutôt libertaire,2016 coalition around Podemos+IU
UPC,Unitat Popular de Catalunya,Unity of the People of Catalonia,-3,-1,Left,Centre-Left,plutôt libertaire,Catalan left list (1979)
UPN,Unión del Pueblo Navarro,Navarrese People's Union,3,3,Centre-Right,Centre-Right,plutôt autoritaire,Regional conservative
UPyD,"Unión, Progreso y Democracia","Union, Progress and Democracy",1,0,Centre,Centre,centre (mix libertés/ordre),"Centrist, civic nationalist (Spain-wide)"
UV,Unión Valenciana,Valencian Union,2,2,Centre-Right,Centre-Right,plutôt autoritaire,Regional conservative (Valencia)
Vox,Vox,Vox,7,6,Right,Right,autoritaire (ordre/sécurité),"Right‑wing to far‑right, national‑conservative"
