Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
LZS,Latvijas Zemnieku savienība,Latvian Farmers' Union,0,2,Centre,Centre-Right,"agrarian, moderately conservative, rural‑oriented",Historic agrarian party; centrist economics with conservative rural social base.
LZS_LKDS_LDP,LZS/LKDS/LDP kopīgais saraksts,LZS–LKDS–LDP joint list,1,3,Centre-Right,Right,agrarian‑Christian‑democratic alliance,"Joint electoral list of Latvian Farmers' Union, Christian Democratic Union and Latvian Democratic Party in 1995."
NA,Nacionālā apvienība,National Alliance,4,7,Right,Far Right,"national‑conservative, cultural‑conservative, Eurosceptic‑leaning",Right‑wing national‑conservative party formed from TB/LNNK and All for Latvia!; strongly patriotic and socially conservative.
NKP_ZP,Nacionālkonservatīvā partija / Zaļā partija,National Conservative Party / Green Party list,1,3,Centre-Right,Right,"green‑conservative, national‑conservative alliance","Joint list of a national‑conservative party and the Latvian Green Party in the 1995 election; centre‑right, socially conservative greens."
NSL,No sirds Latvijai (vēlāk Atmoda Latvijai),From the Heart for Latvia / Awakening for Latvia,2,4,Centre-Right,Right,"conservative, anti‑corruption, value‑oriented","Conservative anti‑corruption party founded by Inguna Sudraba; socially traditional, fiscally cautious."
PRO,Progresīvie,The Progressives,-5,-6,Left,Far Left,"green left, progressive, pro‑LGBT, cosmopolitan",Modern social‑democratic/green party; strongly progressive on social issues and supportive of redistribution.
REFORM,Reformu partija,Reform Party,3,1,Centre-Right,Centre,"centrist‑liberal, anti‑corruption, pro‑EU","Zatlers' Reform Party; centre‑right, liberal, focused on anti‑corruption and institutional reform."
SC,Saskaņas Centrs,Harmony Centre,-4,-2,Centre-Left,Centre-Left,"left‑of‑centre, minority‑rights, moderate social liberalism",Electoral alliance of several left and minority parties (incl. TSP and LSP); precursor to Harmony as a party.
SL,Saskaņa Latvijai – Atdzimšana tautsaimniecībai,Harmony for Latvia – Revival of the National Economy,-3,-3,Centre-Left,Centre-Left,"moderate social‑democratic, minority‑inclusive",1993 alliance which later fed into the National Harmony Party; centre‑left and minority‑rights oriented.
ST,Stabilitātei!,For Stability!,-1,6,Centre-Left,Far Right,"pro‑Russian, socially conservative, anti‑establishment","Pro‑Russian, anti‑vaccine, protest party; economically populist but clearly socially conservative and authoritarian‑leaning."
TB,Tēvzemei un Brīvībai,For Fatherland and Freedom,4,7,Right,Far Right,"national‑conservative, free‑market, socially conservative",Right‑wing national party prior to merger with LNNK; strong emphasis on Latvian language and nationalism.
TB_LNNK,Tēvzemei un Brīvībai/LNNK,For Fatherland and Freedom/LNNK,4,7,Right,Far Right,"national‑conservative, economically liberal, Eurosceptic‑leaning","Merged party combining TB and LNNK; right‑wing, national‑conservative, market‑oriented."
TKL,Tautas kustība Latvijai,People's Movement for Latvia,4,6,Right,Far Right,"right‑wing populist, nationalist, socially conservative",Populist nationalist list led by Joachim Siegerist in 1995; strongly anti‑establishment and conservative.
TP,Tautas partija,People's Party,4,3,Right,Right,"conservative, pro‑business, establishment‑oriented",Conservative governing party of the 2000s; pro‑market and moderately socially conservative.
TSP,Tautas Saskaņas partija,National Harmony Party,-4,-3,Centre-Left,Centre-Left,"social‑democratic, minority‑rights, moderately progressive",Centre‑left party representing many Russian‑speakers; social‑democratic and pro‑minority‑rights.
UNITY,Vienotība,Unity,3,1,Centre-Right,Centre,"liberal‑conservative, pro‑EU, reform‑oriented","Party formed from JL, Civic Union and SCP; liberal‑conservative, fiscally orthodox, socially moderate."
ZZS,Zaļo un Zemnieku savienība,Union of Greens and Farmers,1,2,Centre-Right,Centre-Right,"agrarian‑green, conservative, rural‑based",Alliance of LZS and Latvian Green Party; centrist to centre‑right with conservative rural and green elements.
