Year;Total;CVP/PSC;BSP/PSB;PL;PCB/KPB;LSK;CVV;VU;PVV/PLP;FDF;RW;Agalev;BSP;CD&V;CD&V–N-VA;CVP;CVP-PSC;DéFI;Ecolo;FDF-RW;FN;Groen;KP;LDD;Les Engagés;MR;N-VA;Open Vld;PC;PCB;PLP;PLP(Bxl);PP;PRL;PRLW;PRL–FDF;PS;PSB;PSB(Bxl);PSC;PTB/PVDA;PVV;PVV-PLP;RL;ROSSEM;SP;UDP;UDRT;VB;VLD;Vooruit;cdH;sp.a;sp.a–spirit;Notes
1987;212;0;0;0;0;0;0;16.0;0;3.0;0;6.0;0;0.0;0.0;43.0;0;0.0;3;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;23.0;0;0.0;40;0;0;19.0;0;25;0.0;0;0.0;32.0;0;0;2;0.0;0.0;0.0;0.0;0.0;"Snap election after Voeren crisis. Liberals ran as PVV (Flanders) and PRL (Wallonia). Greens: Agalev 6, Ecolo 3. VB 2; FDF 3."
1991;212;0;0;0;0;0;0;10.0;0;3.0;0;7.0;0;0.0;0.0;39.0;0;0.0;10;0;1;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;20.0;0;0.0;35;0;0;18.0;0;0;26.0;0;3.0;28.0;0;0;12;0.0;0.0;0.0;0.0;0.0;‘Black Sunday’—far-right surge. Separate PVV-PLP joint list. Source: Wikipedia Chamber table.
1995;150;0;0;0;0;0;0;5.0;0;0.0;0;5.0;0;0.0;0.0;29.0;0;0.0;6;0;2;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;18.0;21;0;0;12.0;0;0;0.0;0;0.0;20.0;0;0;11;21.0;0.0;0.0;0.0;0.0;First election with 150-seat Chamber after 1993 state reform. PRL–FDF is a joint list.
1999;150;0;0;0;0;0;0;8.0;0;0.0;0;9.0;0;0.0;0.0;22.0;0;0.0;11;0;1;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;18.0;19;0;0;10.0;0;0;0.0;0;0.0;14.0;0;0;15;23.0;0.0;0.0;0.0;0.0;"‘Dioxin affair’; first liberal-led coalition since 1930s. PRL–FDF joint list."
2003;150;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;21.0;0.0;0.0;0;0.0;4;0;1;0.0;0;0.0;0.0;24.0;1.0;0.0;0;0;0;0;0.0;0.0;0;0.0;25;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;18;25.0;0.0;8.0;0.0;23.0;"5% threshold introduced; Greens hit hard (Agalev 0). MR launched 2002. N-VA first seat."
2007;150;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;0.0;30.0;0.0;0;0.0;8;0;1;4.0;0;5.0;0.0;23.0;0.0;18.0;0;0;0;0;0.0;0.0;0;0.0;20;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;17;0.0;0.0;10.0;0.0;14.0;"CD&V–N-VA alliance largest list; LDD enters; Groen! returns."
2010;150;0;0;0;0;0;0;0.0;0;1.0;0;0.0;0;17.0;0.0;0.0;0;0.0;8;0;0;5.0;0;0.0;0.0;18.0;27.0;13.0;0;0;0;0;1.0;0.0;0;0.0;26;0;0;0.0;0;0;0.0;0;0.0;0.0;0;0;12;0.0;0.0;9.0;13.0;0.0;"N-VA largest party; long government formation (541 days)."
2014;150;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;18.0;0.0;0.0;0;2.0;6;0;0;6.0;0;0.0;0.0;20.0;33.0;14.0;0;0;0;0;1.0;0.0;0;0.0;23;0;0;0.0;2;0;0.0;0;0.0;0.0;0;0;3;0.0;0.0;9.0;13.0;0.0;"N-VA leads; Michel I coalition (N-VA, MR, CD&V, Open Vld). PTB/PVDA gains first 2 seats."
2019;150;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;12.0;0.0;0.0;0;2.0;13;0;0;8.0;0;0.0;0.0;14.0;25.0;12.0;0;0;0;0;0.0;0.0;0;0.0;20;0;0;0.0;12;0;0.0;0;0.0;0.0;0;0;18;0.0;0.0;5.0;9.0;0.0;"VB resurgence; PTB/PVDA gains 12 seats. ‘Vivaldi’ coalition forms (2020)."
2024;150;0;0;0;0;0;0;0.0;0;0.0;0;0.0;0;11.0;0.0;0.0;0;1.0;7;0;0;4.0;0;0.0;7.0;20.0;24.0;7.0;0;0;0;0;0.0;0.0;0;0.0;17;0;0;0.0;15;0;0.0;0;0.0;0.0;0;0;20;0.0;13.0;0.0;0.0;0.0;"Les Engagés replaces cdH; Vooruit replaces sp.a. VB second-largest; N-VA remains largest."
