Acronym;NativeName;EnglishName;EconRating;SocialRating;EconCategory;SocialCategory;SocialCategoryExtended;Notes
MR;Mouvement Réformateur;Reformist Movement;3;-2;Centre-Right;Centre-Left;"Liberal-conservative; economically liberal";Created 2002 (PRL core + allies).
N-VA;Nieuw-Vlaamse Alliantie;New Flemish Alliance;3;2;Centre-Right;Centre-Right;"Flemish nationalist; conservative";
Open Vld;Open Vlaamse Liberalen en Democraten;Open Flemish Liberals and Democrats;4;-2;Right;Centre-Left;"Liberal; market-friendly; socially liberal";Rebrand of VLD.
PC;Parti Communiste;Communist Party (Francophone list);-9;3;Far Left;Centre-Right;"Communist; traditionally authoritarian left";
PCB;Parti Communiste de Belgique;Communist Party of Belgium (Francophone);-9;3;Far Left;Centre-Right;"Communist; traditionally authoritarian left";
PCB/KPB;Parti Communiste de Belgique / Kommunistische Partij van België;Communist Party of Belgium;-9;3;Far Left;Centre-Right;"Communist; traditionally authoritarian left";
PL;Parti Libéral / Liberale Partij;Liberal Party (unitary);2;-2;Centre-Right;Centre-Left;"Classical/centrist liberal; socially liberal";Pre-PVV/PLP era.
PLP;Parti de la Liberté et du Progrès;Party for Freedom and Progress (Wallonia);3;-2;Centre-Right;Centre-Left;"Liberal; pro-market; socially liberal";
PLP(Bxl);PLP (Bruxelles);PLP Brussels list;3;-2;Centre-Right;Centre-Left;Liberal (Brussels section);
PP;Parti Populaire;People's Party (Belgium);5;-1;Right;Centre-Left;Conservative liberal-populist;"Right-wing liberal-conservative; 2010s."
PRL;Parti Réformateur Libéral;Liberal Reformist Party;3;-2;Centre-Right;Centre-Left;"Liberal; pro-market";
PRLW;Parti Réformateur Libéral Wallon;Liberal Reformist Party (Wallonia);3;-2;Centre-Right;Centre-Left;"Liberal; pro-market";
PRL–FDF;PRL–FDF;PRL–FDF joint list;2;-2;Centre-Right;Centre-Left;Liberal + regionalist joint list;Joint list column.
PS;Parti Socialiste;Socialist Party (Wallonia/Brussels);-4;-2;Left;Centre-Left;Social-democratic, progressive;
PSB;Parti Socialiste Belge;Belgian Socialist Party (Wallonia);-4;-3;Left;Left;Social-democratic, progressive;
PSB(Bxl);PSB (Bruxelles);PSB Brussels list;-4;-3;Left;Left;Social-democratic (Brussels section);
PSC;Parti Social Chrétien;Christian Social Party (Wallonia/Brussels);1;3;Centre-Right;Centre-Right;"Christian democratic; communitarian; moderate conservatism";
PTB/PVDA;Parti du Travail de Belgique / Partij van de Arbeid van België;Workers' Party of Belgium;-8;-3;Far Left;Left;"Democratic socialist / Marxist; progressive";
PVV;Partij voor Vrijheid en Vooruitgang;Party for Freedom and Progress (Flanders);3;-2;Centre-Right;Centre-Left;"Liberal; pro-market; socially liberal";
PVV-PLP;PVV–PLP;PVV–PLP joint list (Brussels);3;-2;Centre-Right;Centre-Left;Liberal joint list;
PVV/PLP;PVV/PLP;PVV/PLP;0;0;Centre;Centre;Unclassified / insufficient data;"Acronym present in dataset; needs manual verification."
RL;RL;RL (local/regional list);0;0;Centre;Centre;Unknown / local list;"Placeholder; lacks authoritative expansion."
ROSSEM;ROSSEM;ROSSEM (party of J.-P. Van Rossem);0;-2;Centre;Centre-Left;"Libertarian-populist; anti-establishment";
RW;Rassemblement Wallon;Walloon Rally;0;-1;Centre;Centre-Left;"Walloon regionalist; centrist";
SP;Socialistische Partij;Socialist Party (Flanders);-4;-2;Left;Centre-Left;Social-democratic, progressive;
UDP;Union Démocratique et Progressiste;Democratic and Progressive Union;-1;-1;Centre-Left;Centre-Left;Centrist, progressive;
UDRT;Union Démocratique pour le Respect du Travail;Democratic Union for the Respect of Labour;3;4;Centre-Right;Right;"Authoritarian conservative; pro-labour right";
VB;Vlaams Blok / Vlaams Belang;Flemish Interest;4;6;Right;Right;"Right-wing populist; nationalist; authoritarian";Vlaams Blok re-founded as Vlaams Belang in 2004.
VLD;Vlaamse Liberalen en Democraten;Flemish Liberals and Democrats;4;-2;Right;Centre-Left;"Liberal; market-friendly; socially liberal";Successor to PVV.
VU;Volksunie;People's Union (Flemish regionalist);0;-1;Centre;Centre-Left;"Centrist regionalist; socially liberal-conservative mix";Dissolved 2001 (spawned N-VA & Spirit).
Vooruit;Vooruit;Forward (Flemish social-democratic);-3;-2;Left;Centre-Left;Social-democratic, progressive;Rebrand of sp.a (2021).
cdH;Centre démocrate Humaniste;Humanist Democratic Centre;1;2;Centre-Right;Centre-Right;"Centrist Christian democratic; socially moderate-conservative";Former PSC rebrand (2002).
sp.a;Socialistische Partij Anders;Socialist Party Different (Flanders);-3;-2;Left;Centre-Left;Social-democratic, progressive;"Rebrand of SP (2001); later Vooruit."
sp.a–spirit;sp.a–Spirit;sp.a–Spirit joint list;-3;-2;Left;Centre-Left;Social-democratic with social-liberal regionalist allies;Joint list with Spirit (2003, 2007).
