Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
BIJ1,BIJ1,BIJ1,-8,-9,Far Left,Far Left,"radical left, anti-racist, intersectional feminist","Radical left, explicitly anti-racist and feminist party; strongly pro-migrant, anti-capitalist and decolonial."
PVV,Partij voor de Vrijheid,Party for Freedom,4,9,Right,Far Right,"nativist, anti-immigration, anti-Islam populist","Radical right-wing populist party; anti-immigration, anti-Islam, Eurosceptic; combines welfare chauvinism with strong law-and-order focus."
FvD,Forum voor Democratie,Forum for Democracy,5,8,Right,Far Right,"national-conservative, radical-right populist","Far-right national-conservative party; Eurosceptic, anti-immigration, strongly critical of 'globalism' and climate policy."
Volt,Volt Nederland,Volt Netherlands,-2,-6,Centre-left,Left,"social-liberal, green, strongly pro-European","Pan-European, progressive, pro-EU party; social-liberal with a strong environmental and federalist agenda."
JA21,JA21,JA21,4,7,Right,Right,"conservative-liberal, anti-immigration, law-and-order","Right-wing split from FvD; conservative on migration and security, economically liberal-conservative."
BBB,BoerBurgerBeweging,Farmer–Citizen Movement,3,5,Centre-right,Right,"agrarian conservative, rural-populist","Agrarian/right-populist party defending farmers and rural areas; sceptical of strict environmental regulations and urban elites."
NSC,Nieuw Sociaal Contract,New Social Contract,0,1,Centre,Centre-right,"centrist, Christian-democratic-leaning, institutional-reformist","Centrist, socially slightly conservative party focused on governance, integrity and rebalancing state vs. citizens."
SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2,9,Centre-right,Far Right,"orthodox Calvinist, highly socially conservative","Oldest Dutch party; explicitly Calvinist and very socially conservative (on LGBT, abortion, role of women); economically moderately right."
GPV,Gereformeerd Politiek Verbond,Reformed Political League,2,6,Centre-right,Right,"orthodox Reformed, communitarian, socially conservative","Small orthodox-Reformed party; socially conservative, economically moderately centre-right; merged into ChristenUnie."
RPF,Reformatorische Politieke Federatie,Reformatory Political Federation,1,6,Centre-right,Right,"reformed-evangelical, socially conservative","Reformed evangelical party; socially conservative, welfare-friendly but sceptical of liberal cultural changes; merged into ChristenUnie."
CU,ChristenUnie,Christian Union,0,4,Centre,Right,"Christian-social, communitarian, socially conservative","Christian-social party combining mild economic leftism with social conservatism; successor of GPV and RPF."
DS70,Democratisch Socialisten '70,Democratic Socialists '70,1,1,Centre-right,Centre-right,"conservative social-democratic, anti-communist","Split from PvdA over perceived radicalisation; fiscally stricter social democrats with more Atlanticist, anti-communist profile."
BP,Boerenpartij,Farmers' Party,3,4,Centre-right,Right,"agrarian, conservative-liberal, populist","Agrarian protest party of the 1960s–70s; conservative, anti-establishment, representing farmers against government regulation."
NMP,Nieuwe Midden Partij,New Middle Party,3,1,Centre-right,Centre-right,"small-business interest, economically liberal","Entrepreneurs' and shopkeepers' party; focused on lower burdens for SMEs and sceptical of state dirigisme."
CP,Centrumpartij,Centre Party,3,9,Centre-right,Far Right,"Dutch-nationalist, anti-immigration, extremist right","Far-right Dutch nationalist party of the 1980s; strongly anti-immigration, subject to a cordon sanitaire."
CD,Centrum Democraten,Centre Democrats,3,8,Centre-right,Far Right,"nationalist, anti-immigration, far-right populist","Right-wing to far-right successor to CP; anti-immigration, nationalist, socially conservative; also faced cordon sanitaire."
LPF,Lijst Pim Fortuyn,Pim Fortuyn List,2,5,Centre-right,Right,"right-populist, culturally liberal but anti-immigration","Fortuyn's party: economically liberal, strongly critical of Islam and immigration, but liberal on LGBT and lifestyle issues."
LN,Leefbaar Nederland,Livable Netherlands,0,1,Centre,Centre-right,"centrist, populist, direct-democracy oriented","Short-lived centrist protest party; wanted more direct democracy and citizen say, smaller and more responsive government."
AOV,Algemeen Ouderen Verbond,General Elderly Alliance,0,1,Centre,Centre-right,"pensioners' interest, mildly conservative","Pensioners' party focused on state pensions and elderly care; otherwise ideologically mixed but skews a bit conservative via electorate."
Unie55,Unie 55+,Union 55+ ,0,1,Centre,Centre-right,"pensioners' interest, law-and-order leaning","Elderly-interest party; prioritised pensions and healthcare, with emphasis on security and stricter crime policy."
50PLUS,50PLUS,50PLUS,0,1,Centre,Centre-right,"pensioners' party, centrist, status-quo oriented","Modern seniors' party; centrist on most issues, focused on pension rights, healthcare and protecting older voters' purchasing power."
