Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes
LKDS-LTJS,LKDS–LTJS koalicija,Christian Democratic Union – Lithuanian Youth Party coalition,1,3,Centre-Right,Right,Centre‑right coalition with Christian‑democratic profile.,Alliance of conservative Christian democrats with a youth party.
LMP,Lietuvos moterų partija,Lithuanian Women’s Party,-2,-4,Centre-Left,Left,"Feminist, socially liberal, mildly left‑of‑centre economically.",Women‑focused party with progressive social agenda.
JL,Jaunoji Lietuva,Young Lithuania,2,5,Centre-Right,Right,National‑conservative youth party; socially traditionalist.,Small nationalist party; conservative on identity and social issues.
LTS,Lietuvių tautininkų sąjunga,Lithuanian Nationalist Union,2,6,Centre-Right,Right,"Right‑wing nationalist, strongly socially conservative.",Nationalist party; emphasis on Lithuanian identity and traditional values.
NKS,Nuosaikiųjų konservatorių sąjunga,Moderate Conservative Union,2,3,Centre-Right,Right,"Moderate conservative; pro‑market, socially traditional.",Splinter conservative party; softer rhetoric than main Right.
MKD,Moderniųjų krikščionių demokratų sąjunga,Modern Christian Democratic Union,2,2,Centre-Right,Centre-Right,Modernised Christian‑democratic; mildly conservative socially.,Smaller Christian‑democratic grouping with somewhat updated image.
TPP,Tautos prisikėlimo partija,National Resurrection Party,1,2,Centre-Right,Centre-Right,Populist centrist‑to‑right party with conservative overtones.,Celebrity‑driven protest party; ideologically diffuse but leaning to the Right.
LLRA,Lietuvos lenkų rinkimų akcija,Electoral Action of Poles in Lithuania,-1,5,Centre-Left,Right,"Ethno‑regional Polish minority party; socially conservative, pro‑welfare.","Represents Polish minority; Catholic, pro‑family, economically redistributive."
LLRA-KŠS,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,Electoral Action of Poles in Lithuania – Christian Families Alliance,-1,6,Centre-Left,Right,"Strongly socially conservative Catholic minority party, pro‑welfare economics.",Current form of LLRA; emphasises Christian family values and minority rights.
ZPL,Związek Polaków na Litwie,Union of Poles in Lithuania,-1,5,Centre-Left,Right,Polish minority association with Catholic‑conservative leanings.,Ethno‑cultural organisation that also competed electorally; similar profile to LLRA.
LPA,Lietuvos piliečių aljansas,Lithuanian Citizens’ Alliance,0,2,Centre,Centre-Right,Minority‑inclusive centrist alliance with moderate conservatism.,Alliance originally focused on minorities; later reoriented as broader citizens’ party.
LCS,Lietuvos centro sąjunga,Centre Union of Lithuania,1,-1,Centre-Right,Centre-Left,"Centrist liberal, mildly pro‑market and socially moderate‑liberal.",Centrist party bridging Left and Right; later involved in liberal mergers.
LiCS,Liberalų ir centro sąjunga,Liberal and Centre Union,2,0,Centre-Right,Centre,"Conservative‑liberal, economically liberal, socially mixed.",Centre‑right liberal party; later merged into Freedom and Justice.
LS,Liberalų sąjūdis,Liberal Movement,3,-3,Right,Left,"Market‑liberal, pro‑EU, socially liberal.",Modern liberal party; economically right‑leaning but socially progressive.
LP,Laisvės partija,Freedom Party,1,-8,Centre-Right,Far Left,"Strongly socially liberal/libertarian; economically liberal, pro‑startup.","Urban liberal party; champions LGBT rights, civil liberties and digital freedoms."
LCP-LPP,Lietuvos centro partija – Lietuvos pensininkų partija (antikorupcinė koalicija),Lithuanian Centre Party – Lithuanian Pensioners Party (Anti‑Corruption Coalition),0,1,Centre,Centre-Right,"Centrist, anti‑corruption, somewhat socially conservative due to pensioner focus.",Anti‑corruption electoral alliance of a centrist party and pensioners’ party.
PLT,Laisvė ir teisingumas (anksčiau Lietuvos laisvės sąjunga (liberalai)),Freedom and Justice (formerly Lithuanian Freedom Union (Liberals)),2,3,Centre-Right,Right,"Conservative‑liberal with soft euroscepticism, socially conservative streak.",Small right‑liberal party; later many members moved to Nemunas Dawn.
LVP,Lietuvos valstiečių partija,Lithuanian Peasants Party,-1,3,Centre-Left,Right,"Agrarian, modestly redistributive economics, culturally conservative.",Rural agrarian party; precursor component of later peasant‑green formations.
VNDPS,Valstiečių ir Naujosios demokratijos partijų sąjunga,Union of Farmers and New Democracy Parties,-2,3,Centre-Left,Right,"Left‑populist agrarian alliance, socially conservative.",Union of peasants and New Democracy; direct predecessor to LVŽS.
LVLS,Lietuvos valstiečių liaudininkų sąjunga,Lithuanian Peasants Popular Union,-2,3,Centre-Left,Right,"Centre‑left agrarian, socially conservative rural base.","Historic peasants’ party; agrarian, redistributive, tradition‑oriented."
TT,Tvarka ir teisingumas,Order and Justice,-1,5,Centre-Left,Right,"Right‑wing populist, economically mixed but socially conservative.","Populist party; anti‑establishment rhetoric, conservative on social issues."
DK,Drąsos kelias,The Way of Courage,0,4,Centre,Right,"Single‑issue populist, socially conservative, anti‑corruption.",Populist anti‑corruption party born from a high‑profile scandal.
PPNA,Politinė partija „Nemuno Aušra“,Dawn of Nemunas,-1,7,Centre-Left,Far Right,"Populist nationalist; centre‑left on fiscal policy, strongly socially conservative.",New nationalist‑populist party; controversial over antisemitic statements.
DSVL,Demokratų sąjunga „Vardan Lietuvos“,"Union of Democrats ""For Lithuania""",-2,2,Centre-Left,Centre-Right,Centre‑left green party with moderately conservative social views.,"Split from LVŽS; mixes green, redistributive economics with family‑oriented values."
LSDDP,Lietuvos socialdemokratų darbo partija,Social Democratic Labour Party of Lithuania,-1,2,Centre-Left,Centre-Right,"Centrist‑to‑centre‑left, more socially conservative than LSDP.","Split from LSDP; often portrayed as pragmatic, regionally focused social democrats."
LKDP-LPKTS-LDP,LKDP–LPKTS–LDP koalicija,LKDP – LPKTS – LDP coalition,2,4,Centre-Right,Right,"Broad anti‑communist Christian‑democratic coalition, socially conservative.","Alliance of Christian democrats, political prisoners/deportees and democrats."
LTS-NP,Lietuvių tautininkų sąjunga – Nepriklausomybės partija koalicija,Lithuanian Nationalist Union – Independence Party coalition,2,6,Centre-Right,Right,"Right‑wing nationalist coalition, strongly conservative socially.",Nationalist‑independence alliance; clearly on the Right socially and nationally.
LTS-LDP,Lietuvių tautininkų sąjunga – Lietuvos demokratų partija koalicija,Lithuanian Nationalist Union – Lithuanian Democratic Party coalition,2,5,Centre-Right,Right,Right‑leaning nationalist‑democratic coalition.,Hybrid of nationalist and conservative‑democratic currents.
SDK,Algirdo Brazausko socialdemokratinė koalicija „Už Lietuvą“,Algirdas Brazauskas Social Democratic Coalition,-3,0,Left,Centre,"Broad centre‑left coalition with moderate, pragmatic social stance.",Electoral coalition around Brazauskas; umbrella for social‑democratic forces.
LLS,Lietuvos liberalų sąjunga,Liberal Union of Lithuania,2,-1,Centre-Right,Centre-Left,"Classical liberal, economically pro‑market, moderately socially liberal.",Earlier liberal party; later part of liberal realignments.
LPKTS,Lietuvos politinių kalinių ir tremtinių sąjunga,Union of Lithuanian Political Prisoners and Deportees,1,4,Centre-Right,Right,"Anti‑communist, socially conservative, patriotic.",Organisation of former political prisoners and deportees; moral‑conservative profile.
NS,Naujoji sąjunga (socialliberalai) / vėliau Nacionalinis susivienijimas (apytikslis),New Union (Social Liberals) / later National Alliance (approximate umbrella),-1,3,Centre-Left,Right,Mix of social‑liberal economics with more conservative national rhetoric over time.,"Label used for differing projects over time; overall mild Left economics, conservative turn on culture."
IND,Nepriklausomi kandidatai,Independent candidates,0,0,Centre,Centre,Ideologically mixed; averaged to the centre on both axes.,Heterogeneous independents; ratings treated as neutral averages for visualisation.
