"Acronym,NativeName,EnglishName,EconRating,SocialRating,EconCategory,SocialCategory,SocialCategoryExtended,Notes"
"PBSD,Партия Български социалдемократи,Party of Bulgarian Social Democrats,-2,-2,Centre-Left,Centre-Left,Moderately progressive/libertarian,Social-democratic."
"PF,Патриотичен фронт,Patriotic Front (coalition),0,6,Centre,Right,Moderately traditionalist/authoritarian,National-conservative coalition."
"PP-DB,Продължаваме Промяната – Демократична България,We Continue the Change – Democratic Bulgaria (coalition),1,-2,Centre,Centre-Left,Moderately progressive/libertarian,Centrist-liberal reformist coalition."
"RB,Реформаторски блок,Reformist Bloc (coalition),4,-1,Right,Centre,Moderately progressive/libertarian,Centre-right reformist coalition."
"RZS,Ред, законност и справедливост,Order, Law and Justice,3,3,Right,Right,Moderately traditionalist/authoritarian,Conservative, anti-corruption."
"SDS,Съюз на демократичните сили,Union of Democratic Forces,3,-2,Right,Centre-Left,Moderately progressive/libertarian,Liberal-conservative, pro-EU."
"UP,Обединени патриоти,United Patriots (coalition),1,7,Centre,Far Right,Authoritarian/traditionalist,Nationalist coalition."
"V,Възраждане,Revival,-1,9,Centre,Far Right,Authoritarian/traditionalist,Nationalist, socially authoritarian; economically protectionist."
"VOLYA,Воля,Volya,2,3,Centre-Right,Right,Moderately traditionalist/authoritarian,Populist conservative."
"Velichie,Величие,Velichie,0,7,Centre,Far Right,Authoritarian/traditionalist,Nationalist-populist; limited info, approximate."
