Year,DC,PCI,PDIUM,PSDI,PLI,PRI,PRI–Radical,MSI,PSI,LpT,PNM,BN,PCI–PSI–PdUP,PMP,FDP,DP,PdUP,PR,PSd'Az,US/PSLI,SVP,UV,VERDI,LN,VdA,LV,PDS,PRC,FI,AN,PPI,CCD,CDU,RI,DS,DL,IdV,UdC,PdL,MpA,PD,M5S,SEL,FdI,SC,CD,Lega,UDC,MAIE,USEI,SA/VdA,NcI–UDC,+Europa,Together,CP,SVP–PATT,LeU,NM,PD–IDP,A–IV,AVS,IC,Total,Notes
1992,206,0,0,0,17,27,0,34,92,0,0,0,0,0,0,0,0,0,0,0,3,0,0,55,0,0,107,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,PDS is PCI successor; other small regional/micro parties hold the remainder to reach 630.
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,168,37,113,108,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Seat totals from FairVote (1995 Katz) summing party totals; 'Patto per l'Italia' attributed to PPI for simplicity.
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,172,35,124,92,69,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Totals approximated from Wikipedia 'Overall results' (sum to 630 across parties in coalitions).
2001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,1,0,0,10,194,99,0,40,0,0,136,83,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,House of Freedoms majority. CCD–CDU combined row recorded as CCD seats; PdCI mapped into PRC column for compactness.
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,41,137,71,0,0,0,0,220,131,30,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,"Approximate distribution; exact per-party seat counts in 2006 are complex (majority bonus, overseas)."
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,29,36,276,8,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,Overall results include Italy/overseas/Aosta rows.
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,8,98,0,297,109,37,9,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,PD wins majority bonus; M5S enters as third force.
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,297,109,37,9,39,6,18,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,630,Seat totals per party; coalition labels avoided.
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,112,227,0,32,0,0,125,0,1,1,0,4,3,1,2,4,14,0,0,0,0,0,630,"Official party seat counts, not coalitions."
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,52,0,119,0,0,66,0,1,0,1,0,2,0,0,0,0,7,69,21,12,1,399,Seat totals per party; 400-seat chamber post-2020 reform.
